Komen;Label
@16sehunnn @byu_id Kirain cuma di gue tapi tetap pake soalnya worth it😭;Positif
@AdiYudha_ @iputra_hidayat @byu_id @Kartu_As Byu memang beda 😅;Positif
@akawanpi alhamdulillah pake by.u ngga ada ginii terimakasih @byu_id 😭👍🏻;Positif
@anaswxft @XLAxiata_Tbk @byu_id @Telkomsel byu jugaaakkk!! setia bgt gak berkhianat masalah pulsa👍;Positif
@anaswxft @XLAxiata_Tbk wkwkwk ganti yuk ke @byu_id;Positif
@andri_andp @byu_id ini mantep gak btw jaringannya?;Positif
@andri_andp @byu_id tnks gann, otw pindah wkwkwk di byu yang 1 bln unlimited 140k itu bisa hemat 2xlipat wkwkwk;Positif
@andri_andp @byu_id wah gila. telkom apa kalo bole tau bang?;Positif
@anwarpurnomo25 @Telkomsel @byu_id @myXL lhooo yg penting kan telkomsel;Positif
@araiynih @byu_id tarifnya gimana kk? murah kah? soalnya kalau pake internet kawatir sinyal jelek;Positif
@ariefghozaly @gigih_pml @DestiaSuci @daniel_cang @arifrahmanms @txtfrombrand @byu_id gua pake by.u udh lebih dari… https://t.co/g8tPIjIVMo;Positif
@arifrahmanms @esmelemelekete @txtfrombrand @byu_id Nyaman aja sih;Positif
@arifrahmanms @txtfrombrand @byu_id Di aku aman2 aja sih.. Tapi pake paketan kuota.. Kalo unlimited baru ngelag..;Positif
@arifrahmanms @txtfrombrand @byu_id gw pake by.u gak lemot tuh;Positif
@azezaha @agung0k @byu_id Alhamdulillah gonku lancar wkwk;Positif
@azezaha @agung0k @byu_id Byu ikut Telkomsel juga 😂;Positif
@babyy_lionn @byu_id IH ADA BONUSNYA??? KECE AMAT 😭😭;Positif
@babyy_lionn @byu_id IHH KECE SEKALIIT_T;Positif
@badakwetan @Telkomsel @byu_id tempat gua udh ga gangguan ndeng;Positif
@banu_said @urimogi @byu_id Bagus nih solusinya;Positif
@banu_said @urimogi @byu_id Lebih murah ya. Tapi dipikir2 tergantung by.U nya nu brrti;Positif
@banu_said @urimogi @byu_id Wih mantep juga. Tapi mending by.U dipikir2 nu;Positif
@beisfUckz bayu yg @byu_id ini baru gapernah salah... wkwk;Positif
@bertanyarl Aku pake yang 50gb dri @byu_id Worth it sih kuotanya gak dibagi2 + kuota Kemendikbud 15gb jdi total 65G… https://t.co/yB419RhpFC;Positif
@bgsalif @nanang__setya @Telkomsel @byu_id Dah nih direspon;Positif
@bukanlalisa @byu_id dah mayan;Positif
@byu_id @13_27_64 Untuk bisa menikmati jaringan 5G;Positif
@byu_id @amandamanopo @amandamanopo pake by.U lah gue kira udah kaya masa artezz beken masi beli kuota 5ribu??;Positif
@byu_id @bangbily Yang pasti dah subcribe dan like YouTube @byu_id episode diperpanjang sketsa komedi bikin Ngakakk… https://t.co/ZvyeMkDqK6;Positif
@byu_id @budadibuuu Wah beneran ternyata no tipu-tipu 😯;Positif
@byu_id @dnyopinion @txtdarisijeunii Aku pake by.u kok etmin😗🤘;Positif
@byu_id @ivanaagustina @txtdarisijeunii Udah 1 tahun lebih dong😍🙏🏻;Positif
@byu_id @kingshadowtae @BTS_twt Pake by.u biar lancar streamingnya my!!;Positif
@byu_id @puzpose Terimakasih atas taanggapan dari keluhan saya tersebut ya seperti yang sudah saya sampaikan terdah… https://t.co/MM7OJsXdmy;Positif
@byu_id @txtdarisijeunii min ak sama byu udah 9 bulan trs dikasi gratis 2gb mksie ya;Positif
@byu_id @txtdarisijeunii min aku udh pake by.u loh😋😋;Positif
@byu_id 10 giga buat sebulan? Murah tuh;Positif
@byu_id 4G yang 140rb ini juga udah cukup. Stabil juga 👍🏼;Positif
@byu_id 4G+ nya byu dah cukup buat drakoran wkwkwkwk;Positif
@byu_id 50gb 100rb dah jadi langganan saya min wwkwk;Positif
@byu_id aAa byu gemes bgt makasiii 🥺💛💚;Positif
@byu_id Akhirnya nindy kasih paket toping game. Lumayan buat main game pas lagi kismin.;Positif
@byu_id aku baru tau kamu punya musik yang menyenangkan. Ost transformers kalau bisa di masukin juga yaaa, saranghae 💜💛 https://t.co/3wTglLciII;Positif
@byu_id Aku pengguna setia by u udh lama ka;Positif
@byu_id Aku tau akan mendapatkannya lebih cepat karena by.u;Positif
@byu_id Alhamdulillah by.u ada paket unlimited;Positif
@byu_id Alhamdulillah masih 21 😄;Positif
@byu_id Anak byu sudah siap! @byu_id emg sudah siap 5G bersamaan dgn Telkomsel?;Positif
@byu_id Aslii enak bgt lebaran dapet kuota anniversary dari by.u huhuu makasih min😭;Positif
@byu_id bagus lah ada variasi unlimited 2mbps. tambahkan lagi variasi unlimitednya;Positif
@byu_id baik banget dah hueeee tau aja lagi butuh jugaa makasii banyak banyak yaaaa🥺❤ https://t.co/dP1y3aohVz;Positif
@byu_id baik bgt baru kemaren ngerayain anniv skrng dikasih kado lagi tau aja klo lagi miskin kuota🤣🤣 https://t.co/6eqbjx6EUD;Positif
@byu_id bangga banget pake simcard by.U kecepatan jaringan yang saya dapatkan sangat² mengaharukan;Positif
@byu_id Banyak gb min ya ampunn cuma by.u yg bisa dipake lancar di daerahku. ;Positif
@byu_id Bebas banget 😎😎😎;Positif
@byu_id Bebas dari lemot jaringan 4g by.u (padahal bukan paket 1;Positif
@byu_id Bebas dari lemot jaringan 4g by.u (padahal bukan paket 1,5mbps);Positif
@byu_id Bebas internetan gratis lah;Positif
@byu_id Bebas kuota internet dong;Positif
@byu_id Bebas main game tanpa jump ping hehehe;Positif
@byu_id Bebas ngegame game favorit gw sih....salam gamers;Positif
@byu_id beli pake linkaja sukses, saldo udah kepotong, riwayatnya juga sudah sukses. ;Positif
@byu_id bernyanyi lewat playlist lagu di b.yu;Positif
@byu_id Biar ga mikirin kuota pas lg streaming film. https://t.co/JtGmDAq8Xv;Positif
@byu_id biasanya jaringan by u lancar aja sih;Positif
@byu_id Bisa beli pulsa by.u;Positif
@byu_id Bisa bgt by.u adsnya lewat pas lg rame kasusnya😂;Positif
@byu_id buat streaming netflix atau ga viu. yutub juga. buat nemenin kerja hahahahah;Positif
@byu_id Bulan dpn beli.;Positif
@byu_id By.u terimakasih sudah kasih promo kuota gila2an, saya baru saja beli kuota 50Gb dengan harga 50ribu. Artinya perGb cuma 1k rupiah. Makasih @byu_id;Positif
@byu_id cieeee.. perhatian bangent nih Nindy,, mksi bnyk nih kado ultahx,, Luv U 😘😘😘 https://t.co/cvn5iz34vW;Positif
@byu_id Dari daftar transaksi ku mungkin terlihat apa topping by.u yang udah pernah dicobain dan jadi favorit ku https://t.co/aIsEWYO7aS;Positif
@byu_id Di mananya gak penting, yg jelas terakhir ktemu waktu masih ada paketan by.u 50 gb 100 rb... Paketan murahnya kakakkk... 😢;Positif
@byu_id eh iya bener banget lagi wkwkwk thank you by u;Positif
@byu_id Emang byu mah beh Best dah;Positif
@byu_id Emang horor min, tapi lebih horor lagi klo para pengguna by.U ga tau klo ada rewards coin yang sangat berfaedah. https://t.co/dNh8qHAvVw;Positif
'@byu_id emang ngertiin kamu yang sukanya streaming video;Positif
@byu_id emang paling bisa PDKT nya ke kita kita 😁;Positif
@byu_id enak sih pake provider doi;Positif
@byu_id Ga perlu kak makasih, saya selalu pakai unlimited lancar jaya kok😂;Positif
@byu_id Gak pernah cek sih berapanya karena pake unlimited mah gak mikir gituan;Positif
@byu_id Gmna ga cintaa ama by.u tiap bln beli yg ini😍;Positif
@byu_id Goks anjir, provider bikin Liga Fantasi 👍;Positif
@byu_id Gpp. Ternyata add paket 2mbps. Sip Nindy;Positif
@byu_id Gw lagi on-fire bgt nih pake by.u. berhubung PS Store ama Steam lagi discount. Download nya jadi gila2 tota… https://t.co/P8UWusUlO7;Positif
@byu_id Ha a aku kaget dapat tambahan kuota dari by u;Positif
@byu_id ini sih sumpah endul gapernah ganti ganti paling pol 10 sampe 12 itu jg kadang sisa soalnya awet buat stream https://t.co/BGyIb3Ob9Q;Positif
@byu_id Justin Bieber sama superjunior 😂 akhirnya bisa pake Instagram musik tanpa VPN 😍;Positif
@byu_id Kakak aku cuman mau bilang makasih karena udah ngirim kuota di hari ulang tahun aku;Positif
@byu_id Kalau dikasih rate ya 10/10;Positif
@byu_id kencang banget speed nya https://t.co/EZzJ7oChWS;Positif
@byu_id Kenyang kuota;Positif
@byu_id keren banget dah;Positif
@byu_id Kok punyaku msh bisa ya..;Positif
@byu_id koneksi 4G+ dengan sinyal penuh;Positif
@byu_id lagi ada acara keren banget ini;Positif
@byu_id Lumayan bisa buat donlod ambil paket 10gb 1hari https://t.co/XlQQ8vh1pv;Positif
@byu_id Lumayan buat voucher wish biar dapet ps5 di aov;Positif
@byu_id makasih kado 9 bulanya min;Positif
@byu_id makasiiiiiih. Happy setahun bersamaaaa https://t.co/n7mpPX6Dzo;Positif
@byu_id makin ok nih fitur2nya jd makin betah 🥳;Positif
@byu_id maksih kadonya 😘😘😘 https://t.co/Jz61yYCD7O;Positif
@byu_id Mantap min sinyalnya🤙🏻🥴 https://t.co/uttwreJBeo;Positif
@byu_id mantapp akhirnya ada yg di atas 50gb;Positif
@byu_id Masih setia sama byu aman jaya udah 1;Positif
@byu_id Masih setia sama byu aman jaya udah 1,5mbps 😬;Positif
@byu_id Mau sungkem dulu sama @byu_id https://t.co/hzSWhUwRmG;Positif
@byu_id Min kagett liat notif 😭😭😭huhuu makaciiiii lumayan bisa buat streaming Hello Future nya Dreamies besok 😭😭 https://t.co/owbCKmsoIW;Positif
@byu_id Minnn kemarin aku ultah dapet kuota gratisss senenng abizzzz udah setahunan pake 😭😭👍👍👍;Positif
@byu_id momen ketika gua download puluhan giga tapi tidak terputus;Positif
@byu_id Murah sih;Positif
@byu_id ni emang suka ngasih kejutan deh wkwk;Positif
@byu_id Nindy emang oaling ngertii;Positif
@byu_id Nindy tolong yang awet yaa THR nya yang ini. Kuota masih banyak ini kalo beli;Positif
@byu_id Paket Special Pake Telor selalu andalan dari awal pake Hup Beta https://t.co/J0jsaKn94T;Positif
@byu_id pengen bebas internetan dr byu dong;Positif
@byu_id Pertahankan ya ka;Positif
@byu_id Saat byu ngasih kuota gratis atau unlimited 1.5 mbps 30 hari 80 ribu;Positif
@byu_id Semoga menjadi provider terbaik untuk anak muda;Positif
@byu_id SIM card byu support 5G segera meluncur min;Positif
@byu_id Sudah nyampe kartunya;Positif
@byu_id Tadi beli kartu bayu di outlet fajar cell sukamenak pembayaran melalui gopay;Positif
@byu_id tadi dapet nomer bagus bgt dam udh apal;Positif
@byu_id tau kalau sinyal by u paling stabil.;Positif
@byu_id tau kalo sinyal ByU di rumah gue sekaranh kenceng banget. Jd download atau streaming drakor ga bakalan megap2.;Positif
@byu_id Tengkyu  untuk hadiah ultah nya by✊🏼 https://t.co/hTwy839vu2;Positif
@byu_id tentu sajaaa, untung waktu itu make byu unlimited.;Positif
@byu_id terbaik emng;Positif
@byu_id terbaik ketika tanggal tua menyerang 🤣 https://t.co/olm7VpEaBl;Positif
@byu_id Thanks by u, sejak pindah ke by u, push rank jadi lebih enjoyable, sebelumx pakai sebelah sampai kena pinalty credit score ke 79 krn afk hilang jaringan;Positif
@byu_id Thanks byu berkat paket unlimited byu saya untuk 1 bulan gk takut lagi buat nonton YouTube;Positif
@byu_id thx quota monthiversary nya ByU, 🥳🥳🥳;Positif
@byu_id wahhh makasih min dapet kuota gratis 😍😍😍 https://t.co/A6qDM0BEVN;Positif
@byu_id Widih mantap nih, sebagai pengguna B.yu dari beta tester wajib banget join ini mah;Positif
@byu_id Wow sinyalnya cepet banget🥰🚀 https://t.co/83tOJyQ5Ht;Positif
@byu_id Yaps provider ini bernama @byu_id semua harga paketannya murce banget https://t.co/Lp6qfiLjmJ;Positif
@byu_id yg bikin aman jaya alias unlimited 1;Positif
@byu_id yg nyaman apalagi bawa internet kenceng nda nge lag;Positif
@ccloudymoon_ @byu_id IYAAAAA DONGGGGG BY U GITUUU LHOOO;Positif
@convomf Pake @byu_id dong soalnya paketnya murah;Positif
@desratrit @byu_id Jaringannya full;Positif
"@dhiiist @byu_id ""Sinyal by u paling stabil"" 🤡🤡🤡";Positif
@DuwanRiduwann @byu_id Lancarrrr kok;Positif
@fvcksocietie_ @byu_id kalo aku bukan jarang lagi. tapi gak pernah sama sekali dapet sms pinjaman2 atau penipuan gitu selama pake by.u 👍🏽;Positif
@hafidhpurba @myXLCare @myXL @IndosatOoredoo @byu_id iki sih juara mas murah kuota banyak;Positif
@harysuryanto_ @byu_id 4 Bulan pake Byu kayanya aman-aman aja;Positif
@HESOUM @byu_id Aku ga lola sih, kalau beli yg 140rb itu emang dibatasi kecepatannya ya, cuma mastiin aja.. hehe;Positif
@hrdbacot @byu_id terbaik si responnya cepet;Positif
@hrdbacot cs terbaik @byu_id ;Positif
@hrdbacot Cs terbaik selama ini adalah @HaloBCA @byu_id  🤍;Positif
